ID,Stop name,Short name,Code,Authority name,Authority short name,Latitude,Longitude,Country name,Country code,Timezone,Service station
5004,Aire de Repos de Saint-Jean-des-Essartiers,Aire de Repos de Saint-Jean-des-Essartiers,opESS,Aire de Repos de Saint-Jean-des-Essartiers,Aire de Repos de Saint-Jean-des-Essartiers,49.047835,-0.782117,France,FR,Europe/Paris,Yes
5005,Aire de la Vire Gouvets,Aire de la Vire Gouvets,opVIV,Aire de la Vire Gouvets,Aire de la Vire Gouvets,48.908167,-1.105136,France,FR,Europe/Paris,Yes
5026,Raststätte Trens Ovest,Trens Ovest,RS TO,Raststätte Trens Ovest,Trens Ovest,46.867694,11.484299,Italy,IT,Europe/Rome,Yes
5027,Raststätte Trens Est,Trens Est,RS TE,Raststätte Trens Est,Trens Est,46.868878,11.484518,Italy,IT,Europe/Rome,Yes
5034,Changement de conducteur Valence-Nord,Changement de conducteur Valence-Nord,opVLN,Changement de conducteur Valence-Nord,Changement de conducteur Valence-Nord,44.966185,4.887831,France,FR,Europe/Paris,Yes
5035,Area di Servizio Monte Alto,,Area di Servizio Monte Alto,Area di Servizio Monte Alto,,45.448359,10.528988,Italy,IT,Europe/Rome,Yes
5054,Aire de Carcassonne-Arzens Nord,Aire de Carcassonne-Arzens Nord,opCCSN,Aire de Carcassonne-Arzens Nord,Aire de Carcassonne-Arzens Nord,43.21939008,2.216834753,France,FR,Europe/Paris,Yes
5069,Relais de Lavaux (side Geneva lake),Relais de Lavaux,opLVX,Relais de Lavaux,Relais de Lavaux,46.505424,6.708707,Switzerland,CH,Europe/Zurich,Yes
5077,Autohof Porta Westfalica,Autohof Porta Westfalica,RS_PortaWestf,Autohof Porta Westfalica,Autohof Porta Westfalica,52.20997,8.873392,Germany,DE,Europe/Berlin,Yes
5085,Aire du Chavanon,,opCHV,Aire du Chavanon,,45.62193,2.457508,France,FR,Europe/Paris,Yes
5092,Area di Servizio Scaligera,,Area di Servizio Scaligera,Area di Servizio Scaligera,,45.411403,11.233242,Italy,IT,Europe/Rome,Yes
5094,Area di Servizio Poggibonsi Ovest,,ASPO,Area di Servizio Poggibonsi,,43.48817,11.165597,Italy,IT,Europe/Rome,Yes
5097,Eskoriatza / Arrasate Southbound,Eskoriatza,OpESK,Eskoriatza / Arrasate Southbound,Eskoriatza,43.016931,-2.536063,Spain,ES,Europe/Madrid,Yes
5098,Eskoriatza / Arrasate Northbound,Arrasate,opARR,Eskoriatza / Arrasate Northbound,Arrasate,43.063207,-2.475768,Spain,ES,Europe/Madrid,Yes
5115,Aire de Service de Port Lauragais,,opPL,Aire de Service de Port Lauragais,,43.353223,1.807843,France,FR,Europe/Paris,Yes
5116,Aire de Service Mireval / Castelnaudary,,opMIR/CAS,Aire de Service Mireval / Castelnaudary,,43.276603,1.992121,France,FR,Europe/Paris,Yes
5128,Area di Servizio Riviera,,RIGE,Area di Servizio Riviera,,44.276076,9.419451,Italy,IT,Europe/Rome,Yes
5139,Area di servizio Serravalle,Autogrill Serravalle,asSPI,Area di servizio Serravalle,Autogrill Serravalle,43.891425,10.825294,Italy,IT,Europe/Rome,Yes
5141,Aire de Repos des Jaillets,,opJAI,Aire de Repos des Jaillets,,44.96179536,5.647893631,France,FR,Europe/Paris,Yes
5145,Aire de Bois-Mandé Ouest,Aire de Bois-Mandé Ouest,opBMO,Aire de Bois-Mandé Ouest,,46.313837,1.417902,France,FR,Europe/Paris,Yes
5208,Aire de Metz-St-Privat,,opMSP,Aire de Metz-St-Privat,,49.179499,6.054816,France,FR,Europe/Paris,Yes
5214,Area di Servizio Le Saline,,Area di Servizio Le Saline,Area di Servizio Le Saline,,41.329094,15.87506,Italy,IT,Europe/Rome,Yes
